Tiempo (s)	Temperatura 1 (°C) 	Temperatura 2 (°C) 	Log((Tm-T)/(Tm-T0))																						
0	23.99	19.65	0																						
60	23.72	11.96	-0.005013473					tm	-30																
120	22.62	1.63	-0.025702569					t0	23.99																
180	20.28	-5.43	-0.071191461																						
240	17.67	-10.33	-0.124496575																						
300	15.08	-14.13	-0.180360155																						
360	12.57	-16.88	-0.237649064																						
420	10.16	-18.73	-0.295927369																						
480	7.89	-20.1	-0.354111619																						
540	5.77	-21.2	-0.411689291																						
600	3.76	-22.02	-0.469522175																						
660	1.88	-22.69	-0.52681999																						
720	0.14	-23.21	-0.582945651																						
780	-0.51	-23.67	-0.604747621																						
840	-0.63	-24.03	-0.608825099																						
900	-0.66	-24.35	-0.609847072																						
960	-0.61	-24.64	-0.608144364																						
"1,020"	-0.56	-24.87	-0.60644455																						
"1,080"	-0.56	-25.06	-0.60644455																						
"1,140"	-0.56	-25.27	-0.60644455																						
"1,200"	-0.58	-25.46	-0.607124129																						
"1,260"	-0.6	-25.64	-0.60780417																						
"1,320"	-0.64	-25.8	-0.60916564																						
"1,380"	-0.69	-25.91	-0.61087009																						
"1,440"	-0.73	-26.08	-0.612235744																						
"1,500"	-0.74	-26.19	-0.612577449																						
"1,560"	-0.71	-26.32	-0.611552683																						
"1,620"	-0.69	-26.48	-0.61087009																						
"1,680"	-0.7	-26.59	-0.611211328								Recta  congelacion								Recta enfriamiento producto congelado						-2.119499345
"1,740"	-0.71	-26.72	-0.611552683					1000			pendiente		ordenada						pendiente		ordenada				3500
"1,800"	-0.73	-26.79	-0.612235744					-0.604595756			-3.71066E-05		-0.5674892						-1.53E-03		3.228140605				
"1,860"	-0.75	-26.92	-0.612919271																						
"1,920"	-0.79	-27.03	-0.614287728																						
"1,980"	-0.85	-27.14	-0.616343931																						
"2,040"	-0.94	-27.23	-0.619436186																						
"2,100"	-1.06	-27.3	-0.623574123																						
"2,160"	-1.26	-27.37	-0.630508964																						
"2,220"	-1.55	-27.49	-0.640650684																						
"2,280"	-1.91	-27.56	-0.653385203																						
"2,340"	-2.39	-27.65	-0.670620818												puntos de corte regresiones										
"2,400"	-2.99	-27.74	-0.692591676												x		2546.051655						"T fusion, °C"		
"2,460"	-3.76	-27.82	-0.72151388												y		-0.661964408						-2.149959073		
"2,520"	-4.85	-27.85	-0.763940948																						
"2,580"	-6.15	-27.95	-0.817014627																						
"2,640"	-7.52	-28.02	-0.876172819																						
"2,700"	-9	-28.12	-0.944276407																						
"2,760"	-10.49	-28.22	-1.01787169																						
"2,820"	-12.01	-28.31	-1.098982796																						
"2,880"	-13.44	-28.38	-1.181808695																						
"2,940"	-14.82	-28.5	-1.268820072																						
"3,000"	-16.11	-28.62	-1.357629687																						
"3,060"	-17.32	-28.71	-1.448772895																						
"3,120"	-18.39	-28.82	-1.536932049																						
"3,180"	-19.42	-28.92	-1.629833418																						
"3,240"	-20.35	-29	-1.721840929																						
"3,300"	-21.21	-29.1	-1.815184133																						
"3,360"	-21.98	-29.17	-1.906860422																						
"3,420"	-22.68	-29.25	-1.998188516																						
"3,480"	-23.31	-29.35	-2.08818497																						
"3,540"	-23.89	-29.4	-2.178872071																						
"3,600"	-24.43	-29.49	-2.27140379																						
"3,660"	-24.93	-29.57	-2.365458027																						
"3,720"	-25.39	-29.61	-2.460570987																						
"3,780"	-25.81	-29.66	-2.55609811																						
"3,840"	-26.19	-29.7	-2.651169655																						
"3,900"	-26.53	-29.76	-2.74464425																						
"3,960"	-26.85	-29.82	-2.841396391																						
"4,020"	-27.15	-29.87	-2.94147985																						
"4,080"	-27.4	-29.93	-3.033287399																						
"4,140"	-27.65	-29.97	-3.134383516																						
"4,200"	-27.87	-30	-3.232676865																						
"4,260"	-28.08	-30.06	-3.336473658																						
"4,320"	-28.26	-30.1	-3.434913731																						
"4,380"	-28.4	-30.14	-3.518795215																						
"4,440"	-28.55	-30.17	-3.617235288																						
"4,500"	-28.69	-30.24	-3.718771707																						
"4,560"	-28.83	-30.28	-3.831795095																						
